osm:machinetag,mz:machinetag
osm:amenity=fuel,mobility:mobility=gas_station
osm:man_made=lighthouse,do_and_see:attraction=lighthouse
osm:historic=monument,do_and_see:attraction=monument
osm:leisure=swimming_area,do_and_see:fun=swimming_pool
osm:shop=car,shop_and_service:service=automobile_sales
osm:leisure=garden,do_and_see:fun=botanical_garden
osm:landuse=allotments,do_and_see:attraction=community_garden
osm:emergency=ambulance_station,health:health=ambulance_station
osm:leisure=track,do_and_see:fun=athletic_track
osm:attraction=maze,do_and_see:fun=maze
osm:attraction=carousel,do_and_see:fun=carousel
osm:leisure=miniature_golf,do_and_see:fun=miniature_golf
osm:shop=supermarket,shop_and_service:shop=grocery_store
osm:shop=health_food,shop_and_service:shop=health_food_store
osm:shop=convenience,shop_and_service:shop=convenience_store
osm:amenity=marketplace,do_and_see:attraction=marketplace
osm:amenity=social_centre,do_and_see:attraction=social_center
osm:amenity=community_centre,shop_and_service:service=community_hall
osm:tourism=alpine_hut,do_and_see:attraction=alpine_hut
osm:craft=sawmill,do_and_see:attraction=sawmill
osm:amenity=restaurant,eat:restaurant=dim_sum
osm:amenity=restaurant,eat:restaurant=diner
osm:amenity=restaurant,eat:restaurant=dumpling
osm:amenity=restaurant,eat:restaurant=ethiopian
osm:amenity=restaurant,eat:restaurant=filipino
osm:amenity=restaurant,eat:restaurant=basque
osm:amenity=restaurant,eat:restaurant=argentinean
osm:amenity=restaurant,eat:restaurant=asian
osm:amenity=restaurant,eat:restaurant=bbq
osm:amenity=restaurant,eat:restaurant=barbecue
osm:amenity=restaurant,eat:restaurant=breakfast
osm:amenity=restaurant,eat:restaurant=cajun_and_creole
osm:amenity=restaurant,eat:restaurant=californian
osm:amenity=restaurant,eat:restaurant=cantonese
osm:amenity=restaurant,eat:restaurant=caribbean
osm:amenity=restaurant,eat:restaurant=chilean
osm:amenity=restaurant,eat:restaurant=chinese
osm:amenity=restaurant,eat:restaurant=croatian
osm:amenity=restaurant,eat:restaurant=cuban
osm:amenity=restaurant,eat:restaurant=curry
osm:amenity=restaurant,eat:restaurant=arab
osm:amenity=restaurant,eat:restaurant=african
osm:amenity=restaurant,eat:restaurant=empanada
osm:amenity=restaurant,eat:restaurant=french
osm:amenity=restaurant,eat:restaurant=german
osm:amenity=restaurant,eat:restaurant=greek
osm:amenity=restaurant,eat:restaurant=hunan
osm:amenity=restaurant,eat:restaurant=indonesian
osm:amenity=restaurant,eat:restaurant=indian
osm:amenity=restaurant,eat:restaurant=iranian
osm:amenity=restaurant,eat:restaurant=italian
osm:amenity=restaurant,eat:restaurant=japanese
osm:amenity=restaurant,eat:restaurant=korean
osm:amenity=restaurant,eat:restaurant=kyo_ryouri
osm:amenity=restaurant,eat:restaurant=malaysian
osm:amenity=restaurant,eat:restaurant=mexican
osm:amenity=restaurant,eat:restaurant=mongolian
osm:amenity=restaurant,eat:restaurant=noodle_shop
osm:amenity=restaurant,eat:restaurant=peruvian
osm:amenity=restaurant,eat:restaurant=ramen
osm:amenity=restaurant,eat:restaurant=sichuan
osm:amenity=restaurant,eat:restaurant=soul_food
osm:amenity=restaurant,eat:restaurant=polish
osm:amenity=restaurant,eat:restaurant=spanish
osm:amenity=restaurant,eat:restaurant=steak_house
osm:amenity=restaurant,eat:restaurant=sushi
osm:amenity=restaurant,eat:restaurant=swiss
osm:amenity=restaurant,eat:restaurant=tapas
osm:amenity=restaurant,eat:restaurant=thai
osm:amenity=restaurant,eat:restaurant=tibetan
osm:amenity=restaurant,eat:restaurant=turkish
osm:amenity=restaurant,eat:restaurant=vegan
osm:amenity=restaurant,eat:restaurant=vegetarian
osm:amenity=restaurant,eat:restaurant=vietnamese
osm:amenity=restaurant,eat:restaurant=afghan
osm:amenity=restaurant,eat:restaurant=american
osm:amenity=restaurant,eat:restaurant=australian
osm:amenity=restaurant,eat:restaurant=austrian
osm:amenity=restaurant,eat:restaurant=baiana
osm:amenity=restaurant,eat:restaurant=balkan
osm:amenity=restaurant,eat:restaurant=bavarian
osm:amenity=restaurant,eat:restaurant=belarusian
osm:amenity=restaurant,eat:restaurant=belgian
osm:amenity=restaurant,eat:restaurant=bougatsa
osm:amenity=restaurant,eat:restaurant=brazilian
osm:amenity=restaurant,eat:restaurant=capixaba
osm:amenity=restaurant,eat:restaurant=casserole
osm:amenity=restaurant,eat:restaurant=chicken
osm:amenity=restaurant,eat:restaurant=couscous
osm:amenity=restaurant,eat:restaurant=czech
osm:amenity=restaurant,eat:restaurant=danish
osm:amenity=restaurant,eat:restaurant=eastern_european
osm:amenity=restaurant,eat:restaurant=fish
osm:amenity=restaurant,eat:restaurant=fish_and_chips
osm:amenity=restaurant,eat:restaurant=fried
osm:amenity=restaurant,eat:restaurant=fried_chicken
osm:amenity=restaurant,eat:restaurant=friture
osm:amenity=restaurant,eat:restaurant=gaucho
osm:amenity=restaurant,eat:restaurant=hungarian
osm:amenity=restaurant,eat:restaurant=international
osm:amenity=restaurant,eat:restaurant=latin_american
osm:amenity=restaurant,eat:restaurant=lebanese
osm:amenity=restaurant,eat:restaurant=malagasy
osm:amenity=restaurant,eat:restaurant=mediterranean
osm:amenity=restaurant,eat:restaurant=middle_eastern
osm:amenity=restaurant,eat:restaurant=mineira
osm:amenity=restaurant,eat:restaurant=moroccan
osm:amenity=restaurant,eat:restaurant=new_american
osm:amenity=restaurant,eat:restaurant=okinawa_ryori
osm:amenity=restaurant,eat:restaurant=pakistani
osm:amenity=restaurant,eat:restaurant=pancake
osm:amenity=restaurant,eat:restaurant=pasta
osm:amenity=restaurant,eat:restaurant=portuguese
osm:amenity=restaurant,eat:restaurant=regional
osm:amenity=restaurant,eat:restaurant=rhenish
osm:amenity=restaurant,eat:restaurant=romanian
osm:amenity=restaurant,eat:restaurant=russian
osm:amenity=restaurant,eat:restaurant=savory_pancakes
osm:amenity=restaurant,eat:restaurant=scandinavian
osm:amenity=restaurant,eat:restaurant=seafood
osm:amenity=restaurant,eat:restaurant=shandong
osm:amenity=restaurant,eat:restaurant=south_american
osm:amenity=restaurant,eat:restaurant=westphalian
osm:amenity=restaurant,eat_and_drink:eat=restaurant
osm:amenity=bar,eat_and_drink:drink=bar
osm:amenity=biergarten,eat_and_drink:drink=biergarten
osm:amenity=pub,eat_and_drink:drink=pub
osm:craft=brewery,eat_and_drink:drink=brewery
osm:amenity=karaoke,eat_and_drink:drink=karaoke
osm:shop=coffee,eat_and_drink:drink=coffee_shop
osm:amenity=cafe,eat_and_drink:eat=cafe
osm:amenity=restaurant,eat_and_drink:drink=tea_house
osm:amenity=food_court,eat_and_drink:eat=food_court
osm:cuisine=cake,eat_and_drink:eat=cake_shop
osm:cuisine=cupcake,eat_and_drink:eat=cupcake_shop
osm:cuisine=dessert,eat_and_drink:eat=dessert_shop
osm:amenity=restaurant,eat_and_drink:eat=frozen_yogurt
osm:amenity=restaurant,eat_and_drink:eat=pie
osm:tourism=attraction,do_and_see:attraction=tourist_attraction
osm:shop=deli,eat_and_drink:eat=deli
osm:amenity=restaurant,eat_and_drink:eat=burger
osm:amenity=restaurant,eat_and_drink:eat=burrito
osm:amenity=restaurant,eat_and_drink:eat=taco
osm:amenity=restaurant,eat_and_drink:eat=pizza
osm:amenity=restaurant,eat_and_drink:eat=sandwich
osm:amenity=restaurant,eat_and_drink:eat=salad
osm:amenity=restaurant,eat_and_drink:eat=soup
osm:amenity=restaurant,eat_and_drink:eat=sub
osm:amenity=restaurant,eat_and_drink:eat=creperie
osm:amenity=restaurant,eat_and_drink:eat=falafel
osm:amenity=restaurant,eat_and_drink:eat=gyro
osm:amenity=restaurant,eat_and_drink:eat=hot_dog
osm:amenity=restaurant,eat_and_drink:eat=kebab
osm:amenity=restaurant,eat_and_drink:eat=sausage
osm:amenity=restaurant,eat_and_drink:eat=wings_joint
osm:amenity=fast_food,eat_and_drink:eat=other_fast_food
osm:service=long_distance,other:transport=long_distance_train
osm:service=international,other:transport=international_train
osm:route=train,other:transport=train
osm:amenity=spa,shop_and_service:service=day_spa
osm:amenity=car_rental,mobility:mobility=car_rental
