osm:machinetag,mz:machinetag
osm:highway=path,other:transport=path
osm:highway=footway,other:transport=footway
osm:highway=steps,other:transport=steps
osm:highway=corridor,other:transport=corridor
osm:man_made=pier,other:transport=pier
osm:piste:type=nordic,other:transport=nordic
osm:piste:type=downhill,other:transport=downhill
osm:piste:type=sleigh,other:transport=sleigh
osm:piste:type=skitour,other:transport=skitour
osm:piste:type=hike,other:transport=hike
osm:piste:type=sled,other:transport=sled
osm:piste:type=yes,other:transport=other_ski
osm:piste:type=playground,other:transport=playground
osm:piste:type=ski_jump,other:transport=ski_jump
osm:aeroway=apron,other:transport=apron
osm:aeroway=runway,other:transport=runway
osm:aeroway=taxiway,other:transport=taxiway
osm:aerialway=drag_lift,other:transport=drag_lift
osm:aerialway=platter,other:transport=platter
osm:aerialway=t-bar,other:transport=t_bar
osm:aerialway=goods,other:transport=goods
osm:aerialway=magic_carpet,other:transport=magic_carpet
osm:aerialway=rope_tow,other:transport=rope_tow
osm:aerialway=yes,other:transport=yes
osm:aerialway=zip_line,other:transport=zip_line
osm:aerialway=j-bar,other:transport=j_bar
osm:aerialway=unknown,other:transport=unknown
osm:aerialway=mixed_lift,other:transport=mixed_lift
osm:aerialway=canopy,other:transport=canopy
osm:aerialway=cableway,other:transport=cableway
osm:railway=rail,other:transport=spur
osm:railway=rail,other:transport=siding
osm:railway=rail,other:transport=rail_yard
osm:railway=rail,other:transport=crossover
osm:railway=rail,other:transport=branch
osm:railway=rail,other:transport=connector
osm:railway=rail,other:transport=wye
osm:railway=rail,other:transport=runaway
osm:railway=rail,other:transport=interchange
osm:railway=rail,other:transport=switch
osm:railway=rail,other:transport=industrial
osm:railway=rail,other:transport=disused
osm:railway=rail,other:transport=driveway
osm:railway=rail,other:transport=passing_loop
osm:railway=subway,other:transport=subway
osm:railway=narrow_gauge,other:transport=narrow_gauge
osm:railway=monorail,other:transport=monorail
osm:railway=funicular,other:transport=funicular
osm:landuse=grass,other:nature=grassland
osm:landuse=meadow,other:nature=meadow
osm:natural=scrub,other:nature=scrubland
osm:natural=wetland,other:nature=wetland
osm:natural=rock,other:nature=rock
osm:natural=stone,other:nature=stone
osm:natural=land,other:nature=land
osm:man_made=breakwater,other:nature=breakwater
osm:man_made=groyne,other:nature=groyne
osm:man_made=cutline,other:nature=cutline
osm:man_made=dike,other:nature=dike
